"PRO_COM","Municipality","IFC_decile","Year","GRINS_macroclass","GRINS_class","Period"
6096,"Molino dei Torti",5,"2018","2 ITALIA DI MEZZO","2.1.2.1 - Continuum urbano-rurale litoraneo e/o di pianura scarsamente popolato","Pre-COVID"
6097,"Mombello Monferrato",7,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6098,"Momperone",10,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6099,"Moncestino",6,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6100,"Mongiardino Ligure",9,"2018","1 ITALIA INTERNA","1.2.1 - Interno prossimo scarsamente popolato","Pre-COVID"
6101,"Monleale",4,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6102,"Montacuto",10,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6103,"Montaldeo",7,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6104,"Montaldo Bormida",9,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6105,"Montecastello",6,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6106,"Montechiaro d'Acqui",5,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6107,"Montegioco",8,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6108,"Montemarzino",9,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6109,"Morano sul Po",7,"2018","2 ITALIA DI MEZZO","2.1.2.1 - Continuum urbano-rurale litoraneo e/o di pianura scarsamente popolato","Pre-COVID"
6110,"Morbello",7,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6111,"Mornese",6,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6112,"Morsasco",8,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6113,"Murisengo",5,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6114,"Novi Ligure",4,"2018","2 ITALIA DI MEZZO","2.1.2.2 - Continuum urbano-rurale litoraneo e/o di pianura a media densità di popolazione","Pre-COVID"
6115,"Occimiano",2,"2018","2 ITALIA DI MEZZO","2.1.2.1 - Continuum urbano-rurale litoraneo e/o di pianura scarsamente popolato","Pre-COVID"
6116,"Odalengo Grande",8,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6117,"Odalengo Piccolo",9,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6118,"Olivola",4,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6119,"Orsara Bormida",9,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6120,"Ottiglio",4,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6121,"Ovada",4,"2018","2 ITALIA DI MEZZO","2.1.1.2 - Continuum urbano-rurale di montagna/collina interna a media densità di popolazione","Pre-COVID"
6122,"Oviglio",5,"2018","2 ITALIA DI MEZZO","2.1.2.1 - Continuum urbano-rurale litoraneo e/o di pianura scarsamente popolato","Pre-COVID"
6123,"Ozzano Monferrato",7,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6124,"Paderna",2,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6125,"Pareto",10,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6126,"Parodi Ligure",9,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6127,"Pasturana",6,"2018","2 ITALIA DI MEZZO","2.1.1.2 - Continuum urbano-rurale di montagna/collina interna a media densità di popolazione","Pre-COVID"
6128,"Pecetto di Valenza",6,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6129,"Pietra Marazzi",6,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6131,"Pomaro Monferrato",8,"2018","2 ITALIA DI MEZZO","2.1.2.1 - Continuum urbano-rurale litoraneo e/o di pianura scarsamente popolato","Pre-COVID"
6132,"Pontecurone",6,"2018","2 ITALIA DI MEZZO","2.1.2.1 - Continuum urbano-rurale litoraneo e/o di pianura scarsamente popolato","Pre-COVID"
6133,"Pontestura",5,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6134,"Ponti",4,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6135,"Ponzano Monferrato",7,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6136,"Ponzone",9,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6137,"Pozzol Groppo",8,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6138,"Pozzolo Formigaro",4,"2018","2 ITALIA DI MEZZO","2.1.2.1 - Continuum urbano-rurale litoraneo e/o di pianura scarsamente popolato","Pre-COVID"
6139,"Prasco",8,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6140,"Predosa",6,"2018","2 ITALIA DI MEZZO","2.1.2.1 - Continuum urbano-rurale litoraneo e/o di pianura scarsamente popolato","Pre-COVID"
6141,"Quargnento",5,"2018","2 ITALIA DI MEZZO","2.1.2.1 - Continuum urbano-rurale litoraneo e/o di pianura scarsamente popolato","Pre-COVID"
6142,"Quattordio",3,"2018","2 ITALIA DI MEZZO","2.1.2.1 - Continuum urbano-rurale litoraneo e/o di pianura scarsamente popolato","Pre-COVID"
6143,"Ricaldone",8,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
